cut,subcut,bready_fin28,bready_fin31,bready_t1,fin14,perf1,perf2,perf3,t5,t7,t9
All,All,65.91670227,63.11861038,6.791888714,40.52482605,5.437979698,3.792225122,1.617082238,44.13063812,7.540329456,7.450608253
Exporter Type,Direct exports are 10% or more of sales,73.49693298,59.81023407,28.50046539,56.0105896,8.963420868,6.399642944,1.762447,62.06756973,9.117255211,13.47463799
Exporter Type,Non-exporter,65.40359497,63.18062973,5.537887573,39.79541016,5.203654766,3.606055021,1.611027598,43.0025177,7.476016521,7.129707813
Gender of Top Manager,Top manager is female,60.67353821,65.23271942,3.513300657,28.86252785,5.887230396,6.380066395,-0.82958746,39.5667572,8.417637825,3.856139898
Gender of Top Manager,Top manager is male,67.15042114,62.62078094,7.593529701,43.3307991,5.327327728,3.168066263,2.213007212,45.22598648,7.326822281,8.332172394
Location,Mekong River Delta,46.708992,43.74286652,2.233508348,28.5443573,-3.529640436,14.52867889,-12.86559582,23.55673981,13.58410931,9.954223633
Location,"Northern Central region, the Central Coast, Central Highlands",55.79335785,57.79018784,3.099882126,52.48802185,4.572179794,2.66652751,1.34758985,44.31396103,10.14106274,7.4583354
Location,Northern Midlands and Mountains,76.00969696,64.20833588,12.99216843,47.34746552,9.845480919,8.449661255,1.170127749,43.30612564,7.648243904,11.50200748
Location,Red River Delta,75.96411896,73.05667114,3.983561277,48.2292366,10.79062271,5.214519024,5.468354225,45.33532715,8.08567524,10.5400629
Location,Southeast,62.57756805,58.87961197,12.10675907,26.38699341,0.809962213,-1.022975564,0.656595647,48.07352066,4.002669334,2.423400164
Ownership Type,10% or more foreign ownership,85.56970215,62.1193428,37.30995178,24.2030201,12.02655697,1.837085605,9.313461304,54.46837616,8.493301392,2.97091341
Ownership Type,Domestic,64.94409943,63.16717148,5.244062424,40.8834343,5.374250889,3.909755945,1.481418252,43.99312592,7.557426453,7.732756138
Sector,All,73.16432953,65.25119019,21.13790512,45.39941788,6.509217262,3.358026981,2.797466755,46.89439774,10.50563908,12.79792118
Sector,Construction,65.57610321,61.3884697,1.247030139,46.20681,-1.768259525,5.484042645,-6.911512375,32.05467987,6.67794466,4.702908993
Sector,Fabricated Metal Products,77.145401,68.3144989,14.10229111,44.5669136,14.10501003,7.492035389,7.50233078,25.85266685,9.051392555,6.696144104
Sector,Food,54.60549545,50.2539711,25.68142128,47.52610779,-0.802583993,10.88005543,-9.955039024,34.45016098,9.981356621,10.89302063
Sector,Garments,81.3939209,71.35271454,13.96648788,29.22722435,9.977795601,4.947880745,5.281956196,51.97835922,7.273443222,7.426987648
Sector,Other Manufacturing,73.44342041,65.53372192,23.27950478,47.2604332,4.96343708,1.215585113,2.792593718,53.2088623,11.30970478,15.2292099
Sector,Other Services,61.40750504,61.77993011,1.462750554,34.32672119,9.576191902,4.235761166,5.44073391,49.07988358,4.904447556,4.268632889
Sector,Retail,65.55982208,65.98710632,0.605766714,41.41542816,-0.24476178,-0.733043909,0.280147404,41.04944992,12.46581364,12.1757679
Size,Large (100+),76.39585114,70.04425049,37.88588333,52.48904419,3.462635994,0.357679993,3.221175909,66.25914764,10.35589981,14.65117455
Size,Medium (20-99),64.54219818,61.42401123,6.84917593,49.34402466,11.69260788,11.69649792,1.443733692,42.38132477,8.748441696,6.874499798
Size,Small (5-19),65.38233185,63.15717697,2.832556009,34.6106987,2.393158436,0.186402038,1.516903996,42.31479263,6.555739403,6.851026058
